student_id,study_hours,prev_mean_grade,helb_status,sleep_hours,revision_intensity,target_mean_score
STU-0001,7,99,t,9,1,91
STU-0002,4,82,f,4,2,65
STU-0003,8,51,t,7,2,45
STU-0004,5,52,t,5,2,36
STU-0005,7,75,f,8,5,66
STU-0006,3,78,f,9,6,61
STU-0007,7,73,t,5,6,63
STU-0008,8,45,t,4,6,42
STU-0009,5,77,f,8,2,61
STU-0010,4,89,f,4,0,69
STU-0011,8,91,f,4,5,84
STU-0012,8,79,f,6,2,73
STU-0013,3,47,f,9,2,27
STU-0014,6,47,f,4,2,33
STU-0015,5,79,f,7,8,68
STU-0016,2,72,f,4,3,43
STU-0017,8,73,t,8,4,67
STU-0018,6,83,t,7,2,70
STU-0019,2,54,t,4,9,30
STU-0020,5,75,f,7,0,63
STU-0021,1,99,t,4,3,71
STU-0022,6,96,f,9,0,85
STU-0023,9,74,t,7,6,73
STU-0024,1,85,f,5,6,57
STU-0025,3,61,f,6,3,35
STU-0026,7,62,t,7,4,49
STU-0027,4,79,f,8,9,66
STU-0028,9,84,t,6,6,83
STU-0029,3,94,t,6,5,74
STU-0030,5,90,t,4,3,74
STU-0031,3,61,t,7,3,39
STU-0032,7,44,t,9,1,36
STU-0033,5,70,t,6,9,58
STU-0034,9,52,t,8,1,47
STU-0035,7,67,t,9,3,60
STU-0036,2,97,t,9,4,74
STU-0037,4,59,f,8,3,42
STU-0038,9,72,f,8,2,68
STU-0039,2,55,t,4,1,32
STU-0040,9,68,f,5,3,64
STU-0041,5,62,f,7,4,45
STU-0042,2,63,t,6,0,39
STU-0043,4,73,t,7,0,58
STU-0044,7,46,f,9,5,36
STU-0045,8,77,t,6,4,71
STU-0046,3,76,t,4,3,54
STU-0047,1,43,t,7,0,17
STU-0048,4,73,f,4,6,54
STU-0049,2,81,t,4,3,58
STU-0050,8,61,f,7,2,53
STU-0051,4,44,t,7,6,27
STU-0052,2,89,t,6,1,65
STU-0053,6,81,f,9,9,75
STU-0054,6,62,t,9,0,52
STU-0055,4,93,f,8,3,78
STU-0056,6,99,f,4,7,91
STU-0057,2,54,t,9,5,33
STU-0058,2,70,t,5,8,47
STU-0059,4,98,f,6,0,78
STU-0060,8,48,f,6,0,38
STU-0061,7,82,t,8,4,70
STU-0062,9,97,t,8,5,98
STU-0063,8,92,t,4,7,87
STU-0064,5,64,t,6,2,49
STU-0065,2,64,t,6,5,41
STU-0066,5,88,f,5,2,71
STU-0067,8,60,f,4,7,54
STU-0068,9,48,f,4,3,42
STU-0069,9,94,f,9,1,91
STU-0070,1,87,t,8,8,61
STU-0071,9,77,f,9,9,74
STU-0072,7,61,t,4,7,54
STU-0073,9,82,t,5,5,81
STU-0074,8,62,t,4,2,52
STU-0075,1,88,t,9,1,65
STU-0076,8,43,t,7,3,36
STU-0077,8,68,f,7,3,61
STU-0078,3,54,t,5,0,35
STU-0079,1,40,t,8,8,15
STU-0080,8,93,t,6,9,88
STU-0081,3,69,f,4,7,45
STU-0082,3,68,t,9,6,49
STU-0083,1,59,t,8,5,33
STU-0084,5,72,t,9,2,60
STU-0085,7,80,f,8,3,71
STU-0086,9,83,t,4,1,81
STU-0087,7,75,f,6,6,67
STU-0088,9,99,f,4,1,95
STU-0089,8,61,t,6,9,58
STU-0090,2,52,f,9,0,29
STU-0091,1,46,f,5,5,21
STU-0092,7,47,t,6,3,38
STU-0093,7,67,t,8,7,60
STU-0094,8,84,t,5,0,76
STU-0095,5,82,t,9,8,69
STU-0096,3,48,f,7,5,30
STU-0097,8,64,f,5,1,57
STU-0098,6,95,t,6,7,81
STU-0099,3,55,t,5,4,36
STU-0100,1,49,t,9,4,25
STU-0101,3,50,f,5,4,27
