attendance_rate,cat_score,prev_mean_grade,helb_status,final_score
86.44,31.75,79.61,1,56.92
66.33,76.96,64.36,1,63.6
91.52,77.74,56.37,0,73.7
81.84,52.88,89.24,1,78.06
45.65,67.82,58.28,1,47.24
98.54,56.74,74.93,1,74.24
85.67,63.63,93.25,0,77.83
87.16,42.79,73.03,1,63.0
47.69,69.34,40.05,0,43.43
67.02,35.38,35.7,1,48.86
62.25,32.55,52.64,0,46.66
95.61,58.17,70.77,0,70.19
78.63,56.83,66.01,1,62.63
89.37,64.08,97.73,1,81.39
66.6,50.26,65.83,1,59.41
53.63,88.29,52.11,0,63.71
73.28,62.41,37.6,1,56.65
43.83,63.49,79.25,1,56.25
89.66,62.96,57.89,0,62.73
77.9,75.04,30.89,0,59.81
85.49,68.64,58.4,1,69.01
61.27,66.63,40.08,1,54.43
98.24,71.04,50.34,0,61.36
93.59,32.63,58.11,0,59.52
86.7,33.2,41.71,1,55.29
51.68,58.86,49.22,1,52.33
68.0,57.03,44.61,1,60.28
42.63,68.7,45.09,1,43.69
49.26,60.3,39.86,0,40.46
80.98,68.73,49.31,0,61.53
84.69,41.32,41.9,0,50.83
98.05,59.84,68.56,1,75.9
59.55,39.88,61.61,1,52.42
62.23,65.8,79.5,0,65.55
68.17,31.83,91.96,1,65.2
51.37,65.22,70.19,1,64.43
47.8,37.97,66.09,0,38.34
68.54,54.25,71.33,0,62.61
53.61,73.42,66.4,1,70.69
80.19,63.41,58.9,1,71.54
66.23,35.32,57.47,0,44.42
89.96,49.91,39.61,0,50.74
82.02,37.48,73.1,0,63.17
58.74,34.58,57.44,1,49.41
89.94,61.76,84.09,0,64.88
88.29,68.4,74.47,0,69.99
63.25,66.61,46.73,0,55.89
57.3,69.04,80.44,1,68.94
80.95,59.82,20.0,1,57.53
48.39,55.9,92.74,0,51.94
51.99,43.9,33.91,1,49.1
40.44,53.4,66.91,1,49.12
87.22,40.18,65.69,1,57.13
79.89,47.32,78.23,1,65.65
82.31,61.33,52.08,1,66.99
86.84,58.23,20.0,1,55.5
67.53,100.0,52.11,0,74.53
74.12,39.81,54.06,1,53.03
48.39,58.12,21.11,1,40.24
46.87,38.64,58.82,0,36.95
80.1,54.18,38.63,1,67.89
68.27,54.79,69.68,0,56.02
73.91,72.67,53.57,1,78.46
85.9,53.26,93.3,0,68.4
78.08,57.13,53.39,0,64.83
73.21,53.55,65.75,0,64.18
73.55,38.98,54.16,0,48.31
58.24,50.22,28.78,0,47.17
41.85,54.27,54.32,1,42.9
66.2,61.11,71.56,1,67.84
52.88,68.38,68.84,1,65.95
64.51,56.48,52.72,0,54.51
91.2,56.22,31.78,1,57.47
54.04,34.19,69.6,1,54.24
43.5,68.1,65.55,1,50.3
56.88,49.56,73.18,1,57.04
57.62,71.21,53.07,1,66.7
79.71,79.75,27.68,1,65.75
73.42,57.18,67.61,0,57.64
87.03,44.65,57.84,1,57.56
79.86,59.75,83.05,0,61.54
64.38,65.23,58.52,1,67.58
88.84,55.27,57.18,1,68.62
50.02,51.54,65.51,1,52.89
41.36,68.45,47.26,0,47.63
45.4,67.46,46.39,1,56.35
83.34,54.81,56.24,1,57.88
67.71,35.19,41.43,1,45.77
49.68,66.85,53.88,1,45.24
70.06,48.49,92.91,0,70.11
49.14,63.22,76.77,1,56.45
81.78,62.27,63.54,1,67.08
66.77,31.67,85.93,1,60.91
62.86,61.22,43.15,1,55.2
58.09,67.72,100.0,1,74.15
77.82,69.56,49.71,0,64.4
61.71,61.76,94.07,0,67.18
45.26,30.34,93.99,0,43.67
47.08,79.16,26.44,1,46.66
97.71,66.17,84.41,1,80.76
94.51,41.95,52.89,1,63.34
81.98,48.18,47.78,1,60.97
55.95,63.47,67.44,1,57.84
98.15,70.2,39.86,1,74.3
86.73,52.68,67.04,1,67.55
83.01,72.38,41.07,1,64.75
66.96,33.11,61.19,1,49.56
56.33,44.36,82.04,1,69.01
45.78,29.03,64.96,1,48.91
94.16,46.54,51.52,1,69.65
67.35,82.62,67.75,0,71.54
52.14,90.87,32.68,1,64.25
58.36,63.52,42.9,1,63.06
74.75,50.42,50.26,0,54.46
50.61,56.68,72.16,1,63.5
91.4,67.1,65.3,1,74.35
85.51,36.56,67.63,0,65.73
83.17,51.41,57.51,1,68.83
65.93,81.52,43.81,0,62.55
77.64,44.31,84.79,0,70.29
75.05,48.76,45.44,0,53.41
78.99,60.2,65.54,1,65.6
45.07,64.25,55.98,1,48.83
64.95,50.62,68.13,1,62.0
42.5,61.15,47.1,1,42.35
69.64,69.12,76.95,0,67.19
59.79,89.42,82.81,1,73.5
48.67,58.11,75.84,1,51.21
46.2,59.38,60.84,1,50.81
75.26,82.91,50.17,0,72.04
50.24,51.76,100.0,1,71.38
95.51,40.13,40.15,1,58.39
74.86,63.75,73.86,0,61.48
60.81,76.14,63.99,0,62.39
75.45,65.42,56.87,0,62.49
41.37,58.54,61.33,1,52.34
97.51,38.27,48.82,1,56.84
68.94,59.12,65.69,0,57.03
86.96,78.5,63.7,0,78.97
44.96,41.49,100.0,1,51.57
69.2,56.33,77.27,1,62.88
69.44,54.19,67.29,1,64.55
96.27,49.53,68.36,0,65.7
74.3,63.72,91.11,1,73.62
68.41,66.65,40.53,1,60.09
56.02,66.49,54.71,0,54.48
59.89,45.35,23.67,1,42.76
71.24,35.31,68.06,0,54.0
66.33,63.94,73.27,0,57.22
41.3,52.41,40.08,1,43.58
89.58,87.57,83.83,1,80.83
93.77,88.27,45.06,0,69.25
48.41,89.86,51.84,0,60.3
73.24,45.9,60.15,0,58.57
46.51,68.54,86.7,1,61.53
80.33,73.06,42.55,0,56.28
56.87,71.38,63.24,1,63.39
79.57,54.68,71.95,0,63.89
83.62,79.19,68.23,1,76.39
86.12,60.01,68.9,1,75.07
46.46,61.92,71.71,0,59.14
94.96,36.93,48.01,1,60.14
53.81,69.67,88.38,1,69.8
42.24,56.09,56.0,0,48.03
73.29,66.97,53.61,1,63.0
62.26,63.53,82.26,1,59.39
89.79,62.71,46.65,1,60.77
88.5,59.31,63.77,1,59.81
59.03,71.8,44.99,0,56.5
97.17,57.02,100.0,0,77.75
57.46,38.17,99.56,0,54.87
70.9,68.53,56.02,1,62.66
55.36,47.86,67.36,1,52.03
96.16,40.14,58.09,0,58.71
49.88,44.67,51.73,0,36.05
42.69,64.25,60.15,0,51.67
66.11,58.55,57.27,1,62.14
99.54,28.01,30.63,0,53.64
93.5,54.25,62.73,1,66.49
84.92,77.54,57.24,0,78.94
93.45,53.23,63.62,0,65.19
